id,order_id,user_id,inventory_item_id,sale_price,status,created_at_order_items,returned_at,shipped_at,delivered_at,first_name,last_name,email,age,city,state,country,zip,latitude,longitude,gender,created_at_users,traffic_source
272,34398,259,7965,8.0,Cancelled,2017-09-03 00:23:05 UTC,,,,Jason,Johnson,joshuathompson@frye.org,53,Sierra Vista,Arizona,USA,85635,41.83567269475599,-100.02836375088918,Male,2017-06-07 13:13:36 UTC,Facebook
3046,122285,259,10739,9.989999771118164,Complete,2018-05-08 03:04:56 UTC,,2018-05-11,2018-05-15,Jason,Johnson,joshuathompson@frye.org,53,Sierra Vista,Arizona,USA,85635,41.83567269475599,-100.02836375088918,Male,2017-06-07 13:13:36 UTC,Facebook
4293,216186,259,11986,64.0,Complete,2018-07-03 09:28:51 UTC,,2018-07-04,2018-07-07,Jason,Johnson,joshuathompson@frye.org,53,Sierra Vista,Arizona,USA,85635,41.83567269475599,-100.02836375088918,Male,2017-06-07 13:13:36 UTC,Facebook
309,98988,290,8002,25.0,Cancelled,2017-10-25 13:21:49 UTC,,,,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
5707,259977,290,13400,9.539999961853027,Complete,2018-03-11 05:56:55 UTC,,2018-03-16,2018-03-21,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
308,110483,290,8001,118.0,Complete,2018-04-26 12:24:22 UTC,,2018-04-30,2018-05-05,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
3056,216894,290,10749,75.11000061035155,Complete,2018-01-06 17:58:59 UTC,,2018-01-09,2018-01-13,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
3930,184176,290,11623,11.989999771118164,Complete,2018-06-28 11:19:58 UTC,,2018-06-30,2018-07-04,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
4635,210356,290,12328,64.0,Complete,2018-10-11 15:11:50 UTC,,2018-10-14,2018-10-17,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
5224,303398,290,12917,27.989999771118164,Complete,2018-09-29 17:47:37 UTC,,2018-09-30,2018-10-09,Brenda,Jenkins,adamcampbell@hotmail.com,26,Phoenix,Arizona,USA,85061,43.27289091024791,-102.18391545261878,Female,2018-04-13 08:38:45 UTC,Search
376,40561,356,8069,18.0,Cancelled,2018-08-18 08:09:32 UTC,,,,William,Lindsey,fsummers@gamble.info,24,Buckeye,Arizona,USA,85326,43.28061380253442,-102.18775445783244,Female,2018-03-31 17:17:37 UTC,Organic
377,14941,356,8070,60.0,Cancelled,2018-11-20 11:17:17 UTC,,,,William,Lindsey,fsummers@gamble.info,24,Buckeye,Arizona,USA,85326,43.28061380253442,-102.18775445783244,Female,2018-03-31 17:17:37 UTC,Organic
378,33545,356,8071,60.0,Cancelled,2018-04-17 17:22:37 UTC,,,,William,Lindsey,fsummers@gamble.info,24,Buckeye,Arizona,USA,85326,43.28061380253442,-102.18775445783244,Female,2018-03-31 17:17:37 UTC,Organic
451,115051,426,8144,39.9900016784668,Cancelled,2018-12-02 13:54:18 UTC,,,,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
2156,111019,426,9849,18.0,Complete,2018-02-24 08:10:14 UTC,,2018-02-28,2018-03-04,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
6139,335705,426,13832,54.9900016784668,Complete,2018-11-17 17:37:41 UTC,,2018-11-20,2018-11-23,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
6427,295288,426,14120,6.96999979019165,Complete,2018-12-15 04:03:31 UTC,,2018-12-22,2018-12-27,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
3090,202084,426,10783,8.5,Complete,2018-08-01 08:58:25 UTC,,2018-08-11,2018-08-15,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
6687,356493,426,14380,11.989999771118164,Complete,2019-10-01 11:44:57 UTC,,2019-10-12,2019-10-16,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
6899,309256,426,14592,23.989999771118164,Complete,2019-04-27 12:17:11 UTC,,2019-04-30,2019-05-07,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
7072,320023,426,14765,59.950000762939446,Complete,2019-05-23 03:21:04 UTC,,2019-05-25,2019-05-30,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
5517,254007,426,13210,36.950000762939446,Complete,2019-01-30 06:00:22 UTC,,2019-02-01,2019-02-04,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
7346,362723,426,15039,15.0,Complete,2019-07-15 10:37:23 UTC,,2019-07-19,2019-07-24,Diana,Greer,sandersleslie@osborne.org,54,Phoenix,Arizona,USA,85033,43.25007390322169,-102.220546811994,Female,2018-08-08 14:41:22 UTC,Organic
461,16559,434,8154,10.0,Cancelled,2018-09-22 17:25:48 UTC,,,,Angela,Brown,derrickrichardson@molina.com,51,Phoenix,Arizona,USA,85032,43.30520764365995,-102.19805487149998,Male,2018-06-09 16:39:46 UTC,Search
462,100135,434,8155,24.0,Complete,2018-01-06 22:55:50 UTC,,2018-01-09,2018-01-13,Angela,Brown,derrickrichardson@molina.com,51,Phoenix,Arizona,USA,85032,43.30520764365995,-102.19805487149998,Male,2018-06-09 16:39:46 UTC,Search
2157,174646,434,9850,45.0,Complete,2018-04-27 21:14:42 UTC,,2018-04-30,2018-05-03,Angela,Brown,derrickrichardson@molina.com,51,Phoenix,Arizona,USA,85032,43.30520764365995,-102.19805487149998,Male,2018-06-09 16:39:46 UTC,Search
486,112476,460,8179,12.989999771118164,Cancelled,2018-06-28 02:54:36 UTC,,,,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
7157,315779,460,14850,22.0,Complete,2020-07-07 09:43:37 UTC,,2020-07-09,2020-07-13,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
3098,184161,460,10791,61.97999954223633,Complete,2019-03-17 12:49:15 UTC,,2019-03-20,2019-03-24,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
3969,238096,460,11662,59.950000762939446,Complete,2019-12-12 11:03:48 UTC,,2019-12-16,2019-12-23,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
6434,306965,460,14127,60.09000015258789,Complete,2020-06-03 22:03:00 UTC,,2020-06-08,2020-06-15,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
7388,326444,460,15081,23.989999771118164,Complete,2020-12-14 02:01:07 UTC,,2020-12-17,2020-12-23,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
4673,198158,460,12366,83.30999755859375,Complete,2019-06-18 22:56:38 UTC,,2019-06-23,2019-06-27,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
6803,344399,460,14496,60.0,Complete,2019-12-21 11:17:28 UTC,,2019-12-23,2019-12-30,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
5252,269374,460,12945,68.0,Complete,2019-08-16 17:20:04 UTC,,2019-08-19,2019-08-22,James,Lambert,wilsonrobin@johnson.net,72,Tucson,Arizona,USA,85704,42.42002321997997,-101.06668837128422,Female,2018-09-28 23:19:18 UTC,Facebook
