id,order_id,sale_price,status,created_at_order_items,returned_at,shipped_at,delivered_at,user_id,first_name,last_name,email,age,city,state,country,zip,latitude,longitude,gender,created_at_users,traffic_source
3,223394.0,24.0,Complete,2018-05-31 05:42:36 UTC,,2018-06-03,2018-06-07,749,Jonathan,Kennedy,gfleming@gmail.com,24,Phoenix,Arizona,USA,85085,43.26143524616352,-102.15240554568024,Female,2018-11-28 01:26:41 UTC,Search
6,346488.0,68.0,Complete,2020-12-25 22:43:54 UTC,,2020-12-28,2021-01-01,1234,Brenda,Rodriguez,higginsjeffrey@hotmail.com,54,Avondale,Arizona,USA,85323,43.27947292112592,-102.19210665162372,Male,2020-12-12 18:43:20 UTC,Email
12,82099.0,34.5,Complete,2020-12-29 02:10:56 UTC,,2021-01-01,2021-01-06,3665,Brian,Anderson,sarah98@yahoo.com,26,Phoenix,Arizona,USA,85004,43.33165946049614,-101.9346922248212,Male,2021-05-14 20:21:37 UTC,Facebook
17,62829.0,25.0,Complete,2020-04-04 00:04:49 UTC,,2020-04-08,2020-04-11,3188,Joshua,Moody,christianamber@mueller-parker.com,53,Phoenix,Arizona,USA,85048,43.29604207768323,-102.0504802441319,Female,2017-06-22 16:14:38 UTC,Organic
18,138786.0,64.0,Complete,2019-12-20 18:05:50 UTC,,2019-12-24,2019-12-27,1518,Melissa,Higgins,zallen@hotmail.com,58,Mesa,Arizona,USA,85202,43.42873262014045,-101.78328928509102,Female,2019-03-10 04:59:52 UTC,Search
21,273405.0,169.5,Complete,2019-02-18 00:07:26 UTC,,2019-02-20,2019-02-24,3061,Hunter,Morrow,yswanson@tyler-williams.com,46,Chandler,Arizona,USA,85244,43.3172867667799,-101.91499332734888,Female,2019-10-06 15:26:48 UTC,Organic
22,145884.0,9.850000381469728,Complete,2019-11-25 04:07:03 UTC,,2019-12-05,2019-12-09,3562,Sean,Phelps,samanthaward@hotmail.com,48,Maricopa,Arizona,USA,85239,42.96370319397254,-102.06167544295884,Male,2020-09-22 08:16:18 UTC,Email
24,136264.0,49.0,Complete,2019-11-20 19:04:43 UTC,,2019-11-23,2019-11-28,3951,Brianna,Mills,christina14@kelly.com,53,Phoenix,Arizona,USA,85015,43.44424281196234,-102.09885195142482,Female,2020-01-17 13:13:41 UTC,Email
27,360359.0,160.0,Complete,2019-04-28 13:54:16 UTC,,2019-04-30,2019-05-03,88,Robin,Carney,smithnicholas@hotmail.com,53,Litchfield Park,Arizona,USA,85340,42.54503784795143,-104.7591259954306,Male,2019-07-22 16:55:59 UTC,Email
28,192735.0,18.0,Complete,2020-04-26 21:19:22 UTC,,2020-05-02,2020-05-07,2862,Kristina,Alexander,woodhannah@joseph-caldwell.net,72,Phoenix,Arizona,USA,85062,43.306224564695896,-102.21899567057558,Female,2020-02-17 19:58:52 UTC,Organic
38,337671.0,68.0,Complete,2021-01-28 17:34:08 UTC,,2021-02-01,2021-02-06,2806,Heather,Salazar,gregoryshepherd@hotmail.com,26,Phoenix,Arizona,USA,85072,43.28568487003219,-102.15735798090242,Female,2020-09-17 13:44:58 UTC,Organic
42,316896.0,68.0,Complete,2019-07-27 00:14:10 UTC,,2019-07-30,2019-08-02,3819,James,Clements,kadams@yahoo.com,63,Yuma,Arizona,USA,85369,42.72576240253586,-104.09425086231784,Female,2018-09-23 12:27:44 UTC,Organic
43,282877.0,15.950000762939451,Complete,2021-04-27 14:54:44 UTC,,2021-04-30,2021-05-04,4237,Isabella,Montoya,fdavies@yahoo.com,74,Tucson,Arizona,USA,85752,41.99804806381784,-101.90439509775578,Female,2020-08-21 08:42:14 UTC,Organic
45,234667.0,155.0,Complete,2020-06-17 16:29:46 UTC,,2020-06-21,2020-06-28,2967,Noah,Jackson,znelson@mathis-george.com,22,Tucson,Arizona,USA,85704,42.41879780165071,-101.11425581614608,Female,2020-10-26 02:12:06 UTC,Organic
47,369740.0,25.0,Shipped,2021-03-24 22:58:14 UTC,,2021-03-27,,2122,Sherry,Gilmore,cameronjesse@jennings.com,54,Marana,Arizona,USA,85653,42.43798953040681,-101.15523956560337,Male,2020-02-05 15:58:06 UTC,Organic
61,319505.0,110.0,Complete,2020-12-13 15:18:10 UTC,,2020-12-15,2020-12-18,493,Jonathan,Alexander,ifisher@conley.info,61,Scottsdale,Arizona,USA,85257,43.46612114276508,-101.91700363272048,Female,2020-01-28 12:47:34 UTC,Facebook
